food,retail weight (lbs/year),loss from retail (percent),consumer weight (lbs/year),nonedible loss from consumer (percent),other loss from consumer (percent)
artichokes,1.313944634,19.30561188,1.060279583,60,18
asparagus,1.323773684,9.410995471,1.199193403,47,18
bell peppers,10.2472342,7.769541182,9.451071117,18,39
broccoli,6.807796369,11.95422699,5.993976937,39,12
brussels sprouts,0.638703428,18.75651693,0.518904912,10,12
cabbage,5.842220971,14.07556795,5.019895188,20,24
carrots,8.525480751,5.139784008,8.087289455,11,34
cauliflower,1.57633199,14.00759012,1.355525866,61,9
celery,5.045148031,5.103023775,4.787692928,11,39
collard greens,1.146558389,37.46684875,0.716979092,43,38
sweet corn,7.920609138,0.611543323,7.872171181,64,32
cucumbers,6.923839912,6.130119778,6.499400232,27,32
eggplant,0.761165582,21.3276203,0.598827076,19,26
escarole,0.080217786,47.68317657,0.041967397,14,24
garlic,1.90946693,7.422584415,1.767735135,13,43
kale,0.511035003,39.17441414,0.310840034,39,38
head lettuce,12.59103091,8.7,11.49561122,16,24
leaf lettuce,10.23270628,13.91099366,8.809235154,20.667,24
lima beans,0.000990546,12,0.00087168,56,27
mushrooms,2.814005058,12.69957928,2.456638255,3,21
mustard greens,0.242616238,63.64329887,0.08820726,7,38
okra,0.335393087,24.41804409,0.253496655,14,20
onions,17.77220949,9.756780967,16.03821394,10,43
potatoes,32.7624553,6.499191301,30.63316065,10,16
pumpkin,2.814836536,11.23555826,2.498573937,30,69
radishes,0.448706019,21.02131828,0.354382098,10,47
snap beans,1.495408363,18.56232508,1.217825802,12,24
spinach,1.518746553,14.39399101,1.300138311,28,9
squash,4.169882304,12.46971358,3.649909924,17,25
sweet potatoes,6.805590868,14.18043672,5.840528361,28,44
tomatoes,17.43064049,13.18208866,15.13291801,9,7
turnip greens,0.241051845,40.97214352,0.142287737,30,38
